,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
3096,1983-02,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,34.6,
3097,1983-02,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.1,
3098,1983-02,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.1,E
3207,1983-03,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.0,
3208,1983-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.6,
3209,1983-03,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
3213,1983-03,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.9,
3214,1983-03,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.6,
3215,1983-03,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,20.4,E
3216,1983-03,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,34.6,
3217,1983-03,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.1,
3218,1983-03,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.5,E
