,DATE,PLACE,PLOT,VALUE,MONTH
48066,2014-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),93.6,5
48069,2014-05-01,"Guelph, Ontario",Total (house and land),,5
48072,2014-05-01,"London, Ontario",Total (house and land),94.5,5
48075,2014-05-01,"Windsor, Ontario",Total (house and land),95.4,5
48078,2014-05-01,"Greater Sudbury, Ontario",Total (house and land),98.9,5
48087,2014-05-01,"Winnipeg, Manitoba",Total (house and land),96.1,5
48093,2014-05-01,"Regina, Saskatchewan",Total (house and land),102.1,5
48096,2014-05-01,"Saskatoon, Saskatchewan",Total (house and land),102.9,5
48102,2014-05-01,"Calgary, Alberta",Total (house and land),99.8,5
48105,2014-05-01,"Edmonton, Alberta",Total (house and land),99.9,5
48111,2014-05-01,"Kelowna, British Columbia",Total (house and land),,5
48114,2014-05-01,"Vancouver, British Columbia",Total (house and land),93.5,5
48117,2014-05-01,"Victoria, British Columbia",Total (house and land),96.5,5
48126,2014-06-01,Newfoundland and Labrador,Total (house and land),99.7,6
48129,2014-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.7,6
48132,2014-06-01,Prince Edward Island,Total (house and land),99.4,6
48135,2014-06-01,"Charlottetown, Prince Edward Island",Total (house and land),99.4,6
48141,2014-06-01,"Halifax, Nova Scotia",Total (house and land),98.0,6
48147,2014-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.5,6
48153,2014-06-01,"Québec, Quebec",Total (house and land),100.6,6
48156,2014-06-01,"Sherbrooke, Quebec",Total (house and land),,6
48159,2014-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
48162,2014-06-01,"Montréal, Quebec",Total (house and land),98.3,6
48165,2014-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
48171,2014-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.9,6
48174,2014-06-01,"Oshawa, Ontario",Total (house and land),,6
48177,2014-06-01,"Toronto, Ontario",Total (house and land),88.1,6
48180,2014-06-01,"Hamilton, Ontario",Total (house and land),92.9,6
48183,2014-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),92.5,6
48186,2014-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),93.6,6
48189,2014-06-01,"Guelph, Ontario",Total (house and land),,6
48192,2014-06-01,"London, Ontario",Total (house and land),94.8,6
48195,2014-06-01,"Windsor, Ontario",Total (house and land),95.4,6
48198,2014-06-01,"Greater Sudbury, Ontario",Total (house and land),98.9,6
48207,2014-06-01,"Winnipeg, Manitoba",Total (house and land),96.3,6
48213,2014-06-01,"Regina, Saskatchewan",Total (house and land),102.1,6
48216,2014-06-01,"Saskatoon, Saskatchewan",Total (house and land),103.0,6
48222,2014-06-01,"Calgary, Alberta",Total (house and land),100.1,6
48225,2014-06-01,"Edmonton, Alberta",Total (house and land),100.0,6
48231,2014-06-01,"Kelowna, British Columbia",Total (house and land),,6
48234,2014-06-01,"Vancouver, British Columbia",Total (house and land),93.3,6
48237,2014-06-01,"Victoria, British Columbia",Total (house and land),96.5,6
48246,2014-07-01,Newfoundland and Labrador,Total (house and land),99.7,7
48249,2014-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.7,7
48252,2014-07-01,Prince Edward Island,Total (house and land),99.3,7
48255,2014-07-01,"Charlottetown, Prince Edward Island",Total (house and land),99.3,7
48261,2014-07-01,"Halifax, Nova Scotia",Total (house and land),98.0,7
48267,2014-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.3,7
48273,2014-07-01,"Québec, Quebec",Total (house and land),100.7,7
48276,2014-07-01,"Sherbrooke, Quebec",Total (house and land),,7
48279,2014-07-01,"Trois-Rivières, Quebec",Total (house and land),,7
48282,2014-07-01,"Montréal, Quebec",Total (house and land),98.4,7
48285,2014-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,7
48291,2014-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.8,7
48294,2014-07-01,"Oshawa, Ontario",Total (house and land),,7
48297,2014-07-01,"Toronto, Ontario",Total (house and land),88.0,7
48300,2014-07-01,"Hamilton, Ontario",Total (house and land),93.1,7
48303,2014-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),92.8,7
48306,2014-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),93.8,7
48309,2014-07-01,"Guelph, Ontario",Total (house and land),,7
48312,2014-07-01,"London, Ontario",Total (house and land),95.1,7
48315,2014-07-01,"Windsor, Ontario",Total (house and land),95.4,7
48318,2014-07-01,"Greater Sudbury, Ontario",Total (house and land),98.9,7
48327,2014-07-01,"Winnipeg, Manitoba",Total (house and land),96.3,7
48333,2014-07-01,"Regina, Saskatchewan",Total (house and land),102.2,7
48336,2014-07-01,"Saskatoon, Saskatchewan",Total (house and land),102.9,7
48342,2014-07-01,"Calgary, Alberta",Total (house and land),100.3,7
48345,2014-07-01,"Edmonton, Alberta",Total (house and land),100.0,7
48351,2014-07-01,"Kelowna, British Columbia",Total (house and land),,7
48354,2014-07-01,"Vancouver, British Columbia",Total (house and land),93.2,7
48357,2014-07-01,"Victoria, British Columbia",Total (house and land),96.5,7
48366,2014-08-01,Newfoundland and Labrador,Total (house and land),99.7,8
48369,2014-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.7,8
48372,2014-08-01,Prince Edward Island,Total (house and land),99.3,8
48375,2014-08-01,"Charlottetown, Prince Edward Island",Total (house and land),99.3,8
48381,2014-08-01,"Halifax, Nova Scotia",Total (house and land),98.0,8
48387,2014-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.1,8
48393,2014-08-01,"Québec, Quebec",Total (house and land),100.7,8
48396,2014-08-01,"Sherbrooke, Quebec",Total (house and land),,8
48399,2014-08-01,"Trois-Rivières, Quebec",Total (house and land),,8
48402,2014-08-01,"Montréal, Quebec",Total (house and land),98.4,8
48405,2014-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,8
48411,2014-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.8,8
48414,2014-08-01,"Oshawa, Ontario",Total (house and land),,8
48417,2014-08-01,"Toronto, Ontario",Total (house and land),88.4,8
48420,2014-08-01,"Hamilton, Ontario",Total (house and land),93.3,8
48423,2014-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),92.9,8
48426,2014-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),94.1,8
48429,2014-08-01,"Guelph, Ontario",Total (house and land),,8
48432,2014-08-01,"London, Ontario",Total (house and land),95.2,8
48435,2014-08-01,"Windsor, Ontario",Total (house and land),95.4,8
48438,2014-08-01,"Greater Sudbury, Ontario",Total (house and land),98.9,8
48447,2014-08-01,"Winnipeg, Manitoba",Total (house and land),96.3,8
48453,2014-08-01,"Regina, Saskatchewan",Total (house and land),102.0,8
48456,2014-08-01,"Saskatoon, Saskatchewan",Total (house and land),103.0,8
48462,2014-08-01,"Calgary, Alberta",Total (house and land),100.8,8
48465,2014-08-01,"Edmonton, Alberta",Total (house and land),100.2,8
48471,2014-08-01,"Kelowna, British Columbia",Total (house and land),,8
48474,2014-08-01,"Vancouver, British Columbia",Total (house and land),93.5,8
48477,2014-08-01,"Victoria, British Columbia",Total (house and land),96.3,8
48486,2014-09-01,Newfoundland and Labrador,Total (house and land),99.7,9
48489,2014-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.7,9
48492,2014-09-01,Prince Edward Island,Total (house and land),99.1,9
48495,2014-09-01,"Charlottetown, Prince Edward Island",Total (house and land),99.1,9
48501,2014-09-01,"Halifax, Nova Scotia",Total (house and land),98.3,9
48507,2014-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.1,9
48513,2014-09-01,"Québec, Quebec",Total (house and land),100.7,9
48516,2014-09-01,"Sherbrooke, Quebec",Total (house and land),,9
48519,2014-09-01,"Trois-Rivières, Quebec",Total (house and land),,9
48522,2014-09-01,"Montréal, Quebec",Total (house and land),98.2,9
48525,2014-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,9
48531,2014-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.8,9
48534,2014-09-01,"Oshawa, Ontario",Total (house and land),,9
48537,2014-09-01,"Toronto, Ontario",Total (house and land),88.6,9
48540,2014-09-01,"Hamilton, Ontario",Total (house and land),93.5,9
48543,2014-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),92.9,9
48546,2014-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),94.3,9
48549,2014-09-01,"Guelph, Ontario",Total (house and land),,9
48552,2014-09-01,"London, Ontario",Total (house and land),95.7,9
48555,2014-09-01,"Windsor, Ontario",Total (house and land),95.4,9
48558,2014-09-01,"Greater Sudbury, Ontario",Total (house and land),98.9,9
48567,2014-09-01,"Winnipeg, Manitoba",Total (house and land),95.9,9
48573,2014-09-01,"Regina, Saskatchewan",Total (house and land),101.8,9
48576,2014-09-01,"Saskatoon, Saskatchewan",Total (house and land),102.9,9
48582,2014-09-01,"Calgary, Alberta",Total (house and land),101.0,9
48585,2014-09-01,"Edmonton, Alberta",Total (house and land),100.5,9
48591,2014-09-01,"Kelowna, British Columbia",Total (house and land),,9
48594,2014-09-01,"Vancouver, British Columbia",Total (house and land),93.5,9
48597,2014-09-01,"Victoria, British Columbia",Total (house and land),95.7,9
48606,2014-10-01,Newfoundland and Labrador,Total (house and land),99.7,10
48609,2014-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.7,10
48612,2014-10-01,Prince Edward Island,Total (house and land),99.1,10
48615,2014-10-01,"Charlottetown, Prince Edward Island",Total (house and land),99.1,10
48621,2014-10-01,"Halifax, Nova Scotia",Total (house and land),98.4,10
48627,2014-10-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.1,10
48633,2014-10-01,"Québec, Quebec",Total (house and land),100.7,10
48636,2014-10-01,"Sherbrooke, Quebec",Total (house and land),,10
48639,2014-10-01,"Trois-Rivières, Quebec",Total (house and land),,10
48642,2014-10-01,"Montréal, Quebec",Total (house and land),98.2,10
48645,2014-10-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,10
48651,2014-10-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.6,10
48654,2014-10-01,"Oshawa, Ontario",Total (house and land),,10
48657,2014-10-01,"Toronto, Ontario",Total (house and land),88.7,10
48660,2014-10-01,"Hamilton, Ontario",Total (house and land),93.8,10
48663,2014-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),92.7,10
48666,2014-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),94.6,10
48669,2014-10-01,"Guelph, Ontario",Total (house and land),,10
48672,2014-10-01,"London, Ontario",Total (house and land),95.7,10
48675,2014-10-01,"Windsor, Ontario",Total (house and land),95.3,10
48678,2014-10-01,"Greater Sudbury, Ontario",Total (house and land),98.9,10
48687,2014-10-01,"Winnipeg, Manitoba",Total (house and land),96.1,10
48693,2014-10-01,"Regina, Saskatchewan",Total (house and land),101.9,10
48696,2014-10-01,"Saskatoon, Saskatchewan",Total (house and land),102.9,10
48702,2014-10-01,"Calgary, Alberta",Total (house and land),101.2,10
48705,2014-10-01,"Edmonton, Alberta",Total (house and land),100.5,10
48711,2014-10-01,"Kelowna, British Columbia",Total (house and land),,10
48714,2014-10-01,"Vancouver, British Columbia",Total (house and land),93.8,10
48717,2014-10-01,"Victoria, British Columbia",Total (house and land),95.6,10
48726,2014-11-01,Newfoundland and Labrador,Total (house and land),99.9,11
48729,2014-11-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.9,11
48732,2014-11-01,Prince Edward Island,Total (house and land),98.8,11
48735,2014-11-01,"Charlottetown, Prince Edward Island",Total (house and land),98.8,11
48741,2014-11-01,"Halifax, Nova Scotia",Total (house and land),98.4,11
48747,2014-11-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.0,11
48753,2014-11-01,"Québec, Quebec",Total (house and land),100.9,11
48756,2014-11-01,"Sherbrooke, Quebec",Total (house and land),,11
48759,2014-11-01,"Trois-Rivières, Quebec",Total (house and land),,11
48762,2014-11-01,"Montréal, Quebec",Total (house and land),98.2,11
48765,2014-11-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,11
48771,2014-11-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.5,11
48774,2014-11-01,"Oshawa, Ontario",Total (house and land),,11
48777,2014-11-01,"Toronto, Ontario",Total (house and land),88.8,11
48780,2014-11-01,"Hamilton, Ontario",Total (house and land),94.3,11
48783,2014-11-01,"St. Catharines-Niagara, Ontario",Total (house and land),92.6,11
48786,2014-11-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),94.8,11
48789,2014-11-01,"Guelph, Ontario",Total (house and land),,11
48792,2014-11-01,"London, Ontario",Total (house and land),95.9,11
48795,2014-11-01,"Windsor, Ontario",Total (house and land),95.3,11
48798,2014-11-01,"Greater Sudbury, Ontario",Total (house and land),98.9,11
48807,2014-11-01,"Winnipeg, Manitoba",Total (house and land),96.1,11
48813,2014-11-01,"Regina, Saskatchewan",Total (house and land),101.8,11
48816,2014-11-01,"Saskatoon, Saskatchewan",Total (house and land),102.9,11
48822,2014-11-01,"Calgary, Alberta",Total (house and land),101.5,11
48825,2014-11-01,"Edmonton, Alberta",Total (house and land),100.5,11
48831,2014-11-01,"Kelowna, British Columbia",Total (house and land),,11
48834,2014-11-01,"Vancouver, British Columbia",Total (house and land),93.7,11
48837,2014-11-01,"Victoria, British Columbia",Total (house and land),95.6,11
48846,2014-12-01,Newfoundland and Labrador,Total (house and land),99.9,12
48849,2014-12-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.9,12
48852,2014-12-01,Prince Edward Island,Total (house and land),99.3,12
48855,2014-12-01,"Charlottetown, Prince Edward Island",Total (house and land),99.3,12
48861,2014-12-01,"Halifax, Nova Scotia",Total (house and land),98.4,12
48867,2014-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.0,12
48873,2014-12-01,"Québec, Quebec",Total (house and land),100.9,12
48876,2014-12-01,"Sherbrooke, Quebec",Total (house and land),,12
48879,2014-12-01,"Trois-Rivières, Quebec",Total (house and land),,12
48882,2014-12-01,"Montréal, Quebec",Total (house and land),98.1,12
48885,2014-12-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,12
48891,2014-12-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.3,12
48894,2014-12-01,"Oshawa, Ontario",Total (house and land),,12
48897,2014-12-01,"Toronto, Ontario",Total (house and land),88.9,12
48900,2014-12-01,"Hamilton, Ontario",Total (house and land),94.6,12
48903,2014-12-01,"St. Catharines-Niagara, Ontario",Total (house and land),92.6,12
48906,2014-12-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),95.2,12
48909,2014-12-01,"Guelph, Ontario",Total (house and land),,12
48912,2014-12-01,"London, Ontario",Total (house and land),96.5,12
48915,2014-12-01,"Windsor, Ontario",Total (house and land),95.3,12
48918,2014-12-01,"Greater Sudbury, Ontario",Total (house and land),98.9,12
48927,2014-12-01,"Winnipeg, Manitoba",Total (house and land),96.0,12
48933,2014-12-01,"Regina, Saskatchewan",Total (house and land),101.8,12
48936,2014-12-01,"Saskatoon, Saskatchewan",Total (house and land),102.8,12
48942,2014-12-01,"Calgary, Alberta",Total (house and land),101.6,12
48945,2014-12-01,"Edmonton, Alberta",Total (house and land),100.5,12
48951,2014-12-01,"Kelowna, British Columbia",Total (house and land),,12
48954,2014-12-01,"Vancouver, British Columbia",Total (house and land),93.6,12
48957,2014-12-01,"Victoria, British Columbia",Total (house and land),95.6,12
48966,2015-01-01,Newfoundland and Labrador,Total (house and land),99.9,1
48969,2015-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.9,1
48972,2015-01-01,Prince Edward Island,Total (house and land),99.3,1
48975,2015-01-01,"Charlottetown, Prince Edward Island",Total (house and land),99.3,1
48981,2015-01-01,"Halifax, Nova Scotia",Total (house and land),98.4,1
48987,2015-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.0,1
48993,2015-01-01,"Québec, Quebec",Total (house and land),100.9,1
48996,2015-01-01,"Sherbrooke, Quebec",Total (house and land),,1
48999,2015-01-01,"Trois-Rivières, Quebec",Total (house and land),,1
49002,2015-01-01,"Montréal, Quebec",Total (house and land),98.2,1
49005,2015-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,1
49011,2015-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.0,1
49014,2015-01-01,"Oshawa, Ontario",Total (house and land),,1
49017,2015-01-01,"Toronto, Ontario",Total (house and land),88.9,1
49020,2015-01-01,"Hamilton, Ontario",Total (house and land),94.8,1
49023,2015-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),93.2,1
49026,2015-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),95.2,1
49029,2015-01-01,"Guelph, Ontario",Total (house and land),,1
49032,2015-01-01,"London, Ontario",Total (house and land),96.8,1
49035,2015-01-01,"Windsor, Ontario",Total (house and land),95.3,1
49038,2015-01-01,"Greater Sudbury, Ontario",Total (house and land),98.9,1
49047,2015-01-01,"Winnipeg, Manitoba",Total (house and land),96.2,1
49053,2015-01-01,"Regina, Saskatchewan",Total (house and land),101.8,1
49056,2015-01-01,"Saskatoon, Saskatchewan",Total (house and land),102.8,1
49062,2015-01-01,"Calgary, Alberta",Total (house and land),101.6,1
49065,2015-01-01,"Edmonton, Alberta",Total (house and land),100.3,1
49071,2015-01-01,"Kelowna, British Columbia",Total (house and land),,1
49074,2015-01-01,"Vancouver, British Columbia",Total (house and land),93.5,1
49077,2015-01-01,"Victoria, British Columbia",Total (house and land),95.2,1
49086,2015-02-01,Newfoundland and Labrador,Total (house and land),99.9,2
49089,2015-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.9,2
49092,2015-02-01,Prince Edward Island,Total (house and land),99.3,2
49095,2015-02-01,"Charlottetown, Prince Edward Island",Total (house and land),99.3,2
49101,2015-02-01,"Halifax, Nova Scotia",Total (house and land),98.8,2
49107,2015-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.0,2
49113,2015-02-01,"Québec, Quebec",Total (house and land),100.7,2
49116,2015-02-01,"Sherbrooke, Quebec",Total (house and land),,2
49119,2015-02-01,"Trois-Rivières, Quebec",Total (house and land),,2
49122,2015-02-01,"Montréal, Quebec",Total (house and land),98.5,2
49125,2015-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,2
49131,2015-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),99.1,2
49134,2015-02-01,"Oshawa, Ontario",Total (house and land),,2
49137,2015-02-01,"Toronto, Ontario",Total (house and land),89.2,2
49140,2015-02-01,"Hamilton, Ontario",Total (house and land),94.7,2
49143,2015-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),93.1,2
49146,2015-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),95.5,2
49149,2015-02-01,"Guelph, Ontario",Total (house and land),,2
49152,2015-02-01,"London, Ontario",Total (house and land),96.5,2
49155,2015-02-01,"Windsor, Ontario",Total (house and land),95.3,2
49158,2015-02-01,"Greater Sudbury, Ontario",Total (house and land),98.8,2
49167,2015-02-01,"Winnipeg, Manitoba",Total (house and land),96.3,2
49173,2015-02-01,"Regina, Saskatchewan",Total (house and land),101.5,2
49176,2015-02-01,"Saskatoon, Saskatchewan",Total (house and land),102.8,2
49182,2015-02-01,"Calgary, Alberta",Total (house and land),101.6,2
49185,2015-02-01,"Edmonton, Alberta",Total (house and land),100.5,2
49191,2015-02-01,"Kelowna, British Columbia",Total (house and land),,2
49194,2015-02-01,"Vancouver, British Columbia",Total (house and land),93.5,2
49197,2015-02-01,"Victoria, British Columbia",Total (house and land),95.2,2
49206,2015-03-01,Newfoundland and Labrador,Total (house and land),99.9,3
49209,2015-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.9,3
49212,2015-03-01,Prince Edward Island,Total (house and land),99.5,3
49215,2015-03-01,"Charlottetown, Prince Edward Island",Total (house and land),99.5,3
49221,2015-03-01,"Halifax, Nova Scotia",Total (house and land),98.9,3
49227,2015-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),97.8,3
49233,2015-03-01,"Québec, Quebec",Total (house and land),100.8,3
49236,2015-03-01,"Sherbrooke, Quebec",Total (house and land),,3
49239,2015-03-01,"Trois-Rivières, Quebec",Total (house and land),,3
49242,2015-03-01,"Montréal, Quebec",Total (house and land),98.5,3
49245,2015-03-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,3
49251,2015-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),98.9,3
49254,2015-03-01,"Oshawa, Ontario",Total (house and land),,3
49257,2015-03-01,"Toronto, Ontario",Total (house and land),89.5,3
49260,2015-03-01,"Hamilton, Ontario",Total (house and land),94.8,3
49263,2015-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),93.2,3
49266,2015-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),95.5,3
49269,2015-03-01,"Guelph, Ontario",Total (house and land),,3
49272,2015-03-01,"London, Ontario",Total (house and land),96.4,3
49275,2015-03-01,"Windsor, Ontario",Total (house and land),95.3,3
49278,2015-03-01,"Greater Sudbury, Ontario",Total (house and land),98.8,3
49287,2015-03-01,"Winnipeg, Manitoba",Total (house and land),96.6,3
49293,2015-03-01,"Regina, Saskatchewan",Total (house and land),101.4,3
49296,2015-03-01,"Saskatoon, Saskatchewan",Total (house and land),102.6,3
49302,2015-03-01,"Calgary, Alberta",Total (house and land),101.1,3
49305,2015-03-01,"Edmonton, Alberta",Total (house and land),100.4,3
49311,2015-03-01,"Kelowna, British Columbia",Total (house and land),,3
49314,2015-03-01,"Vancouver, British Columbia",Total (house and land),93.5,3
49317,2015-03-01,"Victoria, British Columbia",Total (house and land),95.2,3
49326,2015-04-01,Newfoundland and Labrador,Total (house and land),99.9,4
49329,2015-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.9,4
49332,2015-04-01,Prince Edward Island,Total (house and land),100.5,4
49335,2015-04-01,"Charlottetown, Prince Edward Island",Total (house and land),100.5,4
49341,2015-04-01,"Halifax, Nova Scotia",Total (house and land),98.9,4
49347,2015-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),97.8,4
49353,2015-04-01,"Québec, Quebec",Total (house and land),100.8,4
49356,2015-04-01,"Sherbrooke, Quebec",Total (house and land),,4
49359,2015-04-01,"Trois-Rivières, Quebec",Total (house and land),,4
49362,2015-04-01,"Montréal, Quebec",Total (house and land),98.4,4
49365,2015-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,4
49371,2015-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),98.9,4
49374,2015-04-01,"Oshawa, Ontario",Total (house and land),,4
49377,2015-04-01,"Toronto, Ontario",Total (house and land),89.8,4
49380,2015-04-01,"Hamilton, Ontario",Total (house and land),94.8,4
49383,2015-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),93.3,4
49386,2015-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),95.5,4
49389,2015-04-01,"Guelph, Ontario",Total (house and land),,4
49392,2015-04-01,"London, Ontario",Total (house and land),96.2,4
49395,2015-04-01,"Windsor, Ontario",Total (house and land),95.3,4
49398,2015-04-01,"Greater Sudbury, Ontario",Total (house and land),98.8,4
49407,2015-04-01,"Winnipeg, Manitoba",Total (house and land),96.7,4
49413,2015-04-01,"Regina, Saskatchewan",Total (house and land),100.1,4
49416,2015-04-01,"Saskatoon, Saskatchewan",Total (house and land),102.7,4
49422,2015-04-01,"Calgary, Alberta",Total (house and land),100.8,4
49425,2015-04-01,"Edmonton, Alberta",Total (house and land),100.4,4
49431,2015-04-01,"Kelowna, British Columbia",Total (house and land),,4
49434,2015-04-01,"Vancouver, British Columbia",Total (house and land),94.1,4
49437,2015-04-01,"Victoria, British Columbia",Total (house and land),95.0,4
49446,2015-05-01,Newfoundland and Labrador,Total (house and land),99.8,5
49449,2015-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.8,5
49452,2015-05-01,Prince Edward Island,Total (house and land),100.4,5
49455,2015-05-01,"Charlottetown, Prince Edward Island",Total (house and land),100.4,5
49461,2015-05-01,"Halifax, Nova Scotia",Total (house and land),99.0,5
49467,2015-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),97.8,5
49473,2015-05-01,"Québec, Quebec",Total (house and land),100.1,5
49476,2015-05-01,"Sherbrooke, Quebec",Total (house and land),,5
49479,2015-05-01,"Trois-Rivières, Quebec",Total (house and land),,5
49482,2015-05-01,"Montréal, Quebec",Total (house and land),98.3,5
49485,2015-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,5
49491,2015-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),98.9,5
49494,2015-05-01,"Oshawa, Ontario",Total (house and land),,5
49497,2015-05-01,"Toronto, Ontario",Total (house and land),90.2,5
49500,2015-05-01,"Hamilton, Ontario",Total (house and land),95.1,5
49503,2015-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),93.3,5
49506,2015-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),95.5,5
49509,2015-05-01,"Guelph, Ontario",Total (house and land),,5
49512,2015-05-01,"London, Ontario",Total (house and land),96.2,5
49515,2015-05-01,"Windsor, Ontario",Total (house and land),95.5,5
49518,2015-05-01,"Greater Sudbury, Ontario",Total (house and land),99.0,5
49527,2015-05-01,"Winnipeg, Manitoba",Total (house and land),96.8,5
49533,2015-05-01,"Regina, Saskatchewan",Total (house and land),100.3,5
49536,2015-05-01,"Saskatoon, Saskatchewan",Total (house and land),103.1,5
49542,2015-05-01,"Calgary, Alberta",Total (house and land),100.8,5
49545,2015-05-01,"Edmonton, Alberta",Total (house and land),100.5,5
49551,2015-05-01,"Kelowna, British Columbia",Total (house and land),,5
49554,2015-05-01,"Vancouver, British Columbia",Total (house and land),94.1,5
49557,2015-05-01,"Victoria, British Columbia",Total (house and land),95.0,5
49566,2015-06-01,Newfoundland and Labrador,Total (house and land),99.8,6
49569,2015-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),99.8,6
49572,2015-06-01,Prince Edward Island,Total (house and land),100.1,6
49575,2015-06-01,"Charlottetown, Prince Edward Island",Total (house and land),100.1,6
49581,2015-06-01,"Halifax, Nova Scotia",Total (house and land),99.1,6
49587,2015-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),98.2,6
49593,2015-06-01,"Québec, Quebec",Total (house and land),100.3,6
49596,2015-06-01,"Sherbrooke, Quebec",Total (house and land),,6
49599,2015-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
49602,2015-06-01,"Montréal, Quebec",Total (house and land),98.3,6
49605,2015-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
49611,2015-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),98.8,6
49614,2015-06-01,"Oshawa, Ontario",Total (house and land),,6
49617,2015-06-01,"Toronto, Ontario",Total (house and land),90.8,6
49620,2015-06-01,"Hamilton, Ontario",Total (house and land),95.5,6
